OBJECTID,LoggerID,Date,DateTime,Interval,Average DO,Avg Temp (C),Avg Temp (F),Coordinates,Avg_Ct,GlobalID,x,y
62,2006680,2022-07-13,7/13/2022 10:00:00 AM,2,8.995833,21.71278,71.083,"41.883825, -70.509812",36,cf0b7f86-5a58-4926-b6aa-6780243b1467,-7849116.36776945,5143592.8470204
63,2006680,2022-07-13,7/13/2022 4:00:00 PM,3,8.986944,21.96361,71.5345,"41.883825, -70.509812",36,68b7c168-1282-4114-b405-2fd83f8a8bb5,-7849116.36776945,5143592.8470204
64,2006680,2022-07-13,7/13/2022 10:00:00 PM,4,8.734167,23.50111,74.302,"41.883825, -70.509812",36,8906b7d7-b857-4ba3-b190-05bdb959c108,-7849116.36776945,5143592.8470204
65,2006680,2022-07-14,7/14/2022 4:00:00 AM,1,8.697222,23.64167,74.555,"41.883825, -70.509812",36,b8fc52a6-bb19-4827-814d-e000ef295258,-7849116.36776945,5143592.8470204
66,2006680,2022-07-14,7/14/2022 10:00:00 AM,2,8.970834,22.07861,71.7415,"41.883825, -70.509812",36,5bb20b50-4b11-4f24-b614-9e9aa8aa7210,-7849116.36776945,5143592.8470204
67,2006680,2022-07-14,7/14/2022 4:00:00 PM,3,8.898611,22.59556,72.672,"41.883825, -70.509812",36,d8be4327-9466-420e-892a-50571760fc9a,-7849116.36776945,5143592.8470204
68,2006680,2022-07-14,7/14/2022 10:00:00 PM,4,7.560278,32.54111,90.574,"41.883825, -70.509812",36,dc723e44-05cc-4561-8bf6-04010474dcc7,-7849116.36776945,5143592.8470204
69,2006680,2022-07-15,7/15/2022 4:00:00 AM,1,7.539166,31.22917,88.21249,"41.883825, -70.509812",36,8f68c39f-1ec9-4d93-8e62-a02bd1b9875f,-7849116.36776945,5143592.8470204
70,2006680,2022-07-15,7/15/2022 10:00:00 AM,2,8.716666,23.88861,74.9995,"41.883825, -70.509812",36,703f0b84-a307-493c-83fa-ba38f6d45ba7,-7849116.36776945,5143592.8470204
71,2006680,2022-07-15,7/15/2022 4:00:00 PM,3,8.599722,25.32639,77.58749,"41.883825, -70.509812",36,ebf6ae62-950a-4c2a-93de-d146f6522eb0,-7849116.36776945,5143592.8470204
72,2006680,2022-07-15,7/15/2022 10:00:00 PM,4,8.175834,27.49639,81.4935,"41.883825, -70.509812",36,c330cadf-d9ba-41e8-84a5-c9d18838ca46,-7849116.36776945,5143592.8470204
73,2006680,2022-07-16,7/16/2022 4:00:00 AM,1,8.691944,23.54083,74.3735,"41.883825, -70.509812",36,58e2d315-2860-4217-b5a0-cb3c7de3b3e6,-7849116.36776945,5143592.8470204
74,2006680,2022-07-16,7/16/2022 10:00:00 AM,2,9.394722,19.82556,67.686,"41.883825, -70.509812",36,ccad6e10-b05a-480d-a785-cf275a0254ae,-7849116.36776945,5143592.8470204
75,2006680,2022-07-16,7/16/2022 4:00:00 PM,3,9.117222,21.88528,71.3935,"41.883825, -70.509812",36,ff33b51c-0296-4971-81e8-e285374b0836,-7849116.36776945,5143592.8470204
76,2006680,2022-07-16,7/16/2022 10:00:00 PM,4,8.4325,25.98,78.76399,"41.883825, -70.509812",36,3a793dc4-8c37-4939-8375-b9e637bcdf6c,-7849116.36776945,5143592.8470204
77,2006680,2022-07-17,7/17/2022 4:00:00 AM,1,8.681111,23.58389,74.451,"41.883825, -70.509812",36,16cf7621-878e-477a-ab7e-dc9490caaae8,-7849116.36776945,5143592.8470204
78,2006680,2022-07-17,7/17/2022 10:00:00 AM,2,9.090278,21.15833,70.085,"41.883825, -70.509812",36,67cf75d8-b5a7-4bb1-8378-48ba397c9f63,-7849116.36776945,5143592.8470204
79,2006680,2022-07-17,7/17/2022 4:00:00 PM,3,8.938334,22.45306,72.4155,"41.883825, -70.509812",36,c8015a9b-0837-4d34-9567-8ab84fc91ff0,-7849116.36776945,5143592.8470204
80,2006680,2022-07-17,7/17/2022 10:00:00 PM,4,8.141945,27.19611,80.953,"41.883825, -70.509812",36,925969d8-3e2c-4b0c-9436-e37c0f7854b5,-7849116.36776945,5143592.8470204
81,2006680,2022-07-18,7/18/2022 4:00:00 AM,1,8.510555,24.36806,75.8625,"41.883825, -70.509812",36,5d98826a-b013-43b2-856e-c79cec875ea2,-7849116.36776945,5143592.8470204
82,2006680,2022-07-18,7/18/2022 10:00:00 AM,2,8.708889,23.37444,74.07401,"41.883825, -70.509812",36,52ae31dc-77ba-42fa-a521-1f2bb2eb5376,-7849116.36776945,5143592.8470204
83,2006680,2022-07-18,7/18/2022 4:00:00 PM,3,7.583055,30.64083,87.1535,"41.883825, -70.509812",36,167630d4-73de-43f4-a4dd-580cabf961f5,-7849116.36776945,5143592.8470204
84,2006680,2022-07-18,7/18/2022 10:00:00 PM,4,7.766944,28.88833,83.999,"41.883825, -70.509812",36,c1ad6a5d-a447-4664-90a7-62287be1a73c,-7849116.36776945,5143592.8470204
85,2006680,2022-07-19,7/19/2022 4:00:00 AM,1,8.351389,24.94778,76.90601,"41.883825, -70.509812",36,e3d8cbd9-a61d-4391-8933-e87c0925998c,-7849116.36776945,5143592.8470204
86,2006680,2022-07-19,7/19/2022 10:00:00 AM,2,8.486957,23.85478,74.93861,"41.883825, -70.509812",23,b5a2c5e6-e2a5-4fe1-b19c-b2df0c0e2f3c,-7849116.36776945,5143592.8470204
87,2006674,2022-07-06,7/6/2022 4:00:00 PM,3,8.792222,22.91778,73.252,"nan, nan",9,80df65de-032b-4107-af4d-21cefaf8397b
88,2006674,2022-07-06,7/6/2022 10:00:00 PM,4,8.762308,23.38308,74.08954,"41.759402, -70.269837",13,f0461a8c-4dcd-48fc-aae5-4eb018670601,-7822402.47296633,5125006.88823219
89,2006674,2022-07-07,7/7/2022 4:00:00 AM,1,8.898611,22.81861,73.0735,"41.759402, -70.269837",36,84482ce9-aa68-4352-a3c6-ce433e61952f,-7822402.47296633,5125006.88823219
90,2006674,2022-07-07,7/7/2022 10:00:00 AM,2,9.023889,22.24778,72.046,"41.759402, -70.269837",36,bfedcd64-da2d-4ae0-ad17-4bbab431523d,-7822402.47296633,5125006.88823219
91,2006674,2022-07-07,7/7/2022 4:00:00 PM,3,8.614166,24.46056,76.029,"41.759402, -70.269837",36,f37fe9e5-499f-47ca-bd05-77acf5df96db,-7822402.47296633,5125006.88823219
92,2006674,2022-07-07,7/7/2022 10:00:00 PM,4,7.835278,29.32139,84.7785,"41.759402, -70.269837",36,bf0a99d9-1f12-433f-96ba-4bd97fe1a38b,-7822402.47296633,5125006.88823219
93,2006674,2022-07-08,7/8/2022 4:00:00 AM,1,9.2325,21.05472,69.8985,"41.759402, -70.269837",36,8d0629dc-59aa-4422-9dd3-c35d23272847,-7822402.47296633,5125006.88823219
94,2006674,2022-07-08,7/8/2022 10:00:00 AM,2,9.959167,17.11778,62.812,"41.759402, -70.269837",36,d3ffb270-1366-45fc-a595-8455e5ee0e18,-7822402.47296633,5125006.88823219
95,2006674,2022-07-08,7/8/2022 4:00:00 PM,3,7.765,28.66472,83.5965,"41.759402, -70.269837",36,e2fc2c2a-ad4e-41f3-b917-d11232aa533f,-7822402.47296633,5125006.88823219
96,2006674,2022-07-08,7/8/2022 10:00:00 PM,4,7.239722,33.23111,91.81599,"41.759402, -70.269837",36,1012955d-3959-43f4-a84b-616b3a02fc06,-7822402.47296633,5125006.88823219
97,2006674,2022-07-09,7/9/2022 4:00:00 AM,1,8.606944,24.47111,76.048,"41.759402, -70.269837",36,b556d39c-cb6e-44e3-9f10-ecaf8978a5a9,-7822402.47296633,5125006.88823219
98,2006674,2022-07-09,7/9/2022 10:00:00 AM,2,9.155833,21.185,70.133,"41.759402, -70.269837",36,15798818-4b42-4bd6-af39-6aa0f73a8c8d,-7822402.47296633,5125006.88823219
99,2006674,2022-07-09,7/9/2022 4:00:00 PM,3,8.500278,25.32,77.576,"41.759402, -70.269837",36,f26652bc-407a-475e-9ac3-c96ab121c91b,-7822402.47296633,5125006.88823219
100,2006674,2022-07-09,7/9/2022 10:00:00 PM,4,8.156944,27.665,81.797,"41.759402, -70.269837",36,d4ece470-72f6-4287-a9d3-0caa2f2262f1,-7822402.47296633,5125006.88823219
101,2006674,2022-07-10,7/10/2022 4:00:00 AM,1,9.555,19.57139,67.2285,"41.759402, -70.269837",36,678d90e3-d1a1-4ee5-b7ab-cc976b98f854,-7822402.47296633,5125006.88823219
102,2006674,2022-07-10,7/10/2022 10:00:00 AM,2,10.48917,14.90889,58.836,"41.759402, -70.269837",36,3894936e-a2e5-40bd-b601-04f6aa5b92bf,-7822402.47296633,5125006.88823219
103,2006674,2022-07-10,7/10/2022 4:00:00 PM,3,8.813889,24.81194,76.6615,"41.759402, -70.269837",36,4eae9ca5-d7db-42b1-be77-42dc63279d72,-7822402.47296633,5125006.88823219
104,2006674,2022-07-10,7/10/2022 10:00:00 PM,4,8.276944,27.45778,81.424,"41.759402, -70.269837",36,504596a0-1f49-4e91-a9f4-3a2dc2ab57d1,-7822402.47296633,5125006.88823219
